date,value
1975-01-01,52.1
1975-02-01 00:00:00,52.5
1975-03-01 00:00:00,52.7
1975-04-01 00:00:00,52.9
1975-05-01 00:00:00,53.2
1975-06-01 00:00:00,53.6
1975-07-01 00:00:00,54.2
1975-08-01 00:00:00,54.3
1975-09-01 00:00:00,54.6
1975-10-01 00:00:00,54.9
1975-11-01 00:00:00,55.3
1975-12-01 00:00:00,55.5
